user_id,preferred_category,secondary_category,age_group,loyalty_tier
AHAL5UKWCVN3O,Wearables,Electronics,55+,Platinum
A3UVLAVI8YI2E8,Computers,Camera,45-54,Gold
A2W2TAONMZ1VT,Camera,Mobile,18-24,Bronze
A26QOWLAH9J2JF,Computers,Computers,35-44,Bronze
A2BX4PNE73E352,Networking,Gaming,55+,Bronze
A3FFO1LZO35ERP,Wearables,Wearables,18-24,Platinum
A16W4E44KN0HXW,Gaming,Electronics,18-24,Platinum
A1PQ22M5QHY4QP,Wearables,Mobile,35-44,Silver
A7UPJYPAH73NC,Gaming,Computers,45-54,Bronze
A1JOVP41EPZXJC,Networking,Networking,18-24,Platinum
AWJZCKIZ7539M,Mobile,Audio,35-44,Silver
AKMI0ZSIG2UCB,Computers,Audio,55+,Platinum
AI885DTL6294E,Gaming,Mobile,18-24,Gold
A2BP1IDG7W1RWY,Electronics,Camera,45-54,Gold
A2OXLWFVWEK0I9,Electronics,Gaming,55+,Bronze
A4DVTFHDRJJC5,Computers,Camera,25-34,Bronze
A2NKMYVUHTOSF9,Electronics,Gaming,25-34,Silver
A2JWUF1HFE67GU,Audio,Networking,25-34,Silver
AJXGPBGTGUMKA,Computers,Electronics,18-24,Gold
A2INC5JIVOWUG1,Computers,Mobile,25-34,Platinum
A1FWFCJU2G7TRA,Electronics,Wearables,55+,Silver
A22DGY7TK6LKUA,Camera,Camera,45-54,Bronze
A3V4DQ1L3W6P8Q,Mobile,Camera,35-44,Bronze
A1O5U7CJ5V4AFA,Camera,Networking,18-24,Silver
A3L5NSJHMFENAW,Mobile,Audio,18-24,Gold
A2MNGG6MODVLTG,Electronics,Networking,18-24,Silver
A3BJGPXDGZI6FW,Camera,Electronics,45-54,Silver
A2BZ16RKE13PKV,Electronics,Wearables,18-24,Silver
A2HIF566UTH7WC,Camera,Wearables,25-34,Silver
A129GXSSO77ZXF,Camera,Mobile,45-54,Platinum
A2ONS58BJ2H6NW,Electronics,Networking,55+,Gold
A3QOW1CB943J3U,Computers,Mobile,55+,Gold
A13E2625YUR0M3,Computers,Camera,55+,Gold
A2UFZ5ELTPKBKK,Electronics,Electronics,35-44,Platinum
A3HYDAJJ6BJZI6,Electronics,Audio,35-44,Bronze
A3HXVYSPNC1A9J,Wearables,Audio,55+,Bronze
AOVT0NT3HW9A7,Mobile,Mobile,45-54,Silver
ARXU3FESTWMJJ,Computers,Audio,18-24,Gold
A38YGTZ22WKWF1,Audio,Audio,18-24,Gold
AHDD156HJ8TMY,Audio,Networking,35-44,Bronze
A9QFFRI9CM1XJ,Networking,Wearables,35-44,Platinum
A2FB472O4G9O6F,Computers,Computers,45-54,Platinum
AQOY334UL0B95,Mobile,Wearables,25-34,Platinum
A10H073G5MOLJA,Electronics,Computers,55+,Platinum
A1NN4VT8V3NIFA,Wearables,Networking,18-24,Bronze
A26D8IVRS6FUY3,Mobile,Audio,18-24,Platinum
ABKIUV48OBTMG,Wearables,Audio,35-44,Gold
A1DIHSR3W0S2S9,Camera,Computers,35-44,Bronze
A35XSKT6NPBJIP,Wearables,Networking,55+,Gold
AZ55Y12OHOYK4,Electronics,Networking,45-54,Platinum
A1A5D46U1N9E88,Wearables,Electronics,25-34,Platinum
A22BC5QKVZGM96,Mobile,Audio,45-54,Silver
A3A9T8N5FRWV3M,Mobile,Mobile,25-34,Bronze
A2KI0LAYW1AM7R,Mobile,Electronics,55+,Platinum
A1BUWOQKOAGLDC,Gaming,Networking,35-44,Platinum
A1QIFYGJPGARO3,Camera,Gaming,25-34,Platinum
A2NORKEGHQHLT1,Wearables,Electronics,45-54,Bronze
A2HGGL69B08XK8,Electronics,Audio,55+,Silver
A17IMN33E1LV9S,Mobile,Audio,45-54,Gold
A3FH2LTPJU3NXR,Gaming,Electronics,18-24,Silver
A3P8N3YORM08CA,Networking,Audio,45-54,Silver
AZMY6E8B52L2T,Computers,Gaming,25-34,Silver
AP6KZ4YEHX5GW,Electronics,Computers,35-44,Silver
A14SSIFAYU88MH,Camera,Gaming,18-24,Gold
A23X4FTABOP3FF,Camera,Networking,25-34,Bronze
A2ESGTC8OVQCCA,Mobile,Electronics,25-34,Platinum
A1IQPCSA7POPL4,Wearables,Camera,18-24,Bronze
ABKEFGX8EZK0Q,Networking,Audio,45-54,Gold
A2OT31WYQ9HLSJ,Networking,Gaming,18-24,Silver
A10Y058K7B96C6,Networking,Computers,18-24,Silver
A3JU2LXH369V08,Wearables,Audio,35-44,Platinum
A141MRPM8U1RHF,Gaming,Mobile,55+,Platinum
AX7317G153T8W,Electronics,Networking,25-34,Bronze
A3FF9D13P8ODWE,Gaming,Networking,45-54,Silver
A1TO7PNJ6W7OB4,Computers,Electronics,45-54,Gold
A1E3T4V1N3E9H8,Audio,Electronics,45-54,Silver
A2HSJ5KAPWH53F,Gaming,Mobile,45-54,Bronze
A2LYFLVWIZINWS,Mobile,Electronics,45-54,Bronze
A2XWVY6ETBH4C,Mobile,Networking,45-54,Platinum
A3S0C5CUPKEZXL,Audio,Gaming,35-44,Gold
A8WAR771QC0M,Networking,Mobile,35-44,Gold
A2NFE8DGI2PO8E,Mobile,Computers,18-24,Silver
AHCMCK4862ICV,Wearables,Audio,55+,Silver
A2C91UMVZU08G,Audio,Wearables,35-44,Platinum
AS9J91RVE9WWS,Gaming,Audio,18-24,Gold
A10N9KVV3DIUWD,Audio,Mobile,35-44,Gold
A29LNXUJP5ANAL,Camera,Networking,55+,Bronze
A1O24JEET2NP5U,Gaming,Networking,55+,Bronze
A3CSEQXU6YCQBJ,Mobile,Camera,55+,Platinum
A38KK0SZYEH5UD,Electronics,Camera,25-34,Platinum
AKPWFZXEZGUZ3,Electronics,Gaming,25-34,Gold
AF061Y2AGKT3O,Computers,Gaming,55+,Platinum
A2GUVC0RUA7W9X,Electronics,Mobile,18-24,Bronze
A1K8GROZYEPMQP,Electronics,Camera,45-54,Gold
ABUNQDZP3KZ2W,Camera,Networking,45-54,Platinum
A1RASEMPON02NQ,Camera,Audio,45-54,Platinum
A1EH03560DQQ4W,Camera,Electronics,55+,Platinum
A2CZ20920W2ETF,Networking,Gaming,25-34,Gold
A2R392KW0WCMCE,Mobile,Electronics,25-34,Silver
A2D98S1RJOQ4IF,Electronics,Mobile,55+,Gold
A184ZNI4K5ZSHY,Audio,Electronics,45-54,Silver
A1TKRAMQ27YXG9,Gaming,Networking,18-24,Platinum
A3IPDGNMA9GXJ6,Mobile,Audio,25-34,Silver
A8GR07QT1PT3G,Gaming,Electronics,35-44,Gold
A39FMRGSYGLO45,Electronics,Audio,25-34,Gold
A1RSGDRA57QN6J,Electronics,Gaming,55+,Silver
A3MULVT7QSEV0Z,Camera,Gaming,18-24,Silver
A2H7AOXP8KUXQ1,Camera,Camera,25-34,Bronze
A1YK3DLWH5MJ8M,Camera,Camera,55+,Gold
A1TF8YM1TQXV41,Camera,Mobile,35-44,Silver
A33AJ1MSMEIA3C,Mobile,Computers,45-54,Bronze
A1QSKVDNMZWZCW,Camera,Gaming,45-54,Silver
A3TM1T3A2R24M9,Camera,Gaming,35-44,Gold
A16FFB80EGBH08,Computers,Electronics,35-44,Platinum
A23GBH7IJZD6HK,Gaming,Electronics,35-44,Platinum
ANSV4TGRPI6CZ,Wearables,Gaming,55+,Platinum
A3W3Z6CW18SXX1,Computers,Audio,55+,Silver
AM54IIJJVLW0C,Gaming,Computers,35-44,Silver
A7P7ETMXVALAR,Gaming,Electronics,18-24,Gold
A2DKUKHFSBCKCW,Gaming,Gaming,18-24,Silver
A2JVC2IIA4KUCU,Mobile,Mobile,45-54,Bronze
A2TLISI5OZ83UK,Audio,Audio,25-34,Platinum
A56HS2VNURVJ0,Camera,Audio,35-44,Platinum
AARVQS2FQQVVB,Camera,Networking,25-34,Platinum
A1ABCPF4JW9ZLP,Camera,Wearables,18-24,Gold
A3PHKR5SYBONZ2,Networking,Computers,18-24,Gold
A3CV871DJQ3U2C,Electronics,Camera,35-44,Platinum
A3682UQ4G35WSX,Networking,Computers,35-44,Platinum
A3CD6L3AQ5T2E7,Audio,Electronics,25-34,Silver
AYNTULRNAIPNY,Electronics,Electronics,25-34,Platinum
A29R0SOFYZ0374,Mobile,Audio,18-24,Silver
A1U06CGNYBRJ7X,Gaming,Networking,35-44,Gold
A2BH9NG0YE7IHX,Wearables,Gaming,18-24,Silver
A2PM3D7CY9FUDG,Gaming,Networking,18-24,Platinum
AGGDI4VWPPZ6J,Mobile,Mobile,45-54,Gold
AO2FXIAM4EKOS,Networking,Electronics,35-44,Platinum
A3AHT10SFS415A,Gaming,Electronics,35-44,Gold
A1VLE2SH9J8WYS,Networking,Audio,25-34,Platinum
ALXLK9DGZYSY9,Audio,Wearables,35-44,Platinum
AW73E7O2OTR2K,Mobile,Electronics,35-44,Silver
AXIIG2W0PKN8P,Networking,Gaming,45-54,Platinum
A2EIMJMWXSK5XC,Mobile,Networking,55+,Platinum
A3U16LITWT2PQJ,Gaming,Computers,18-24,Gold
A2Q79J76PISBAJ,Networking,Networking,35-44,Platinum
A35RUT4P1Y2AJA,Wearables,Audio,55+,Silver
A3NNOOXF7E866Q,Mobile,Mobile,35-44,Gold
A1UWSU5ETQRQKX,Gaming,Electronics,45-54,Platinum
A3L84LFWS62IY5,Gaming,Computers,18-24,Gold
A16QOD7FWYQ62,Computers,Gaming,25-34,Gold
A228O5I7XWT0CJ,Electronics,Camera,45-54,Silver
A2KWOC600DMC0W,Computers,Gaming,25-34,Platinum
A1WLN1IJXGYS6I,Wearables,Electronics,55+,Gold
A3UZK16LHEA6EA,Audio,Camera,35-44,Silver
A14BR6GL1BRZ6F,Mobile,Audio,45-54,Bronze
A3LXD4U63JONVV,Computers,Networking,25-34,Gold
A34E7SNDV4CG7S,Gaming,Wearables,18-24,Bronze
A3D0ZUO09OMJ3,Gaming,Camera,25-34,Gold
AMZRPLYG5X1Q9,Gaming,Gaming,35-44,Bronze
A2V9DTXTQ5YIMK,Audio,Computers,45-54,Bronze
A21EZ96XI4KITM,Networking,Computers,35-44,Platinum
AUTJ8J0UYE5V7,Camera,Networking,55+,Platinum
A305I3LTO37F53,Gaming,Mobile,35-44,Platinum
A3GC7W3GC77MSO,Electronics,Computers,55+,Gold
AZBAG1IXQ661F,Wearables,Electronics,18-24,Bronze
A32HV88TYXC2TZ,Gaming,Computers,25-34,Gold
ABVCTE9EURPUV,Computers,Wearables,45-54,Gold
A1FOYFP25YJLDH,Camera,Electronics,18-24,Platinum
A37AJKN9EYGVQ4,Gaming,Networking,25-34,Silver
A3D7BGK0P5QY0X,Camera,Wearables,25-34,Silver
A2TOUMUWSN7FJY,Gaming,Audio,55+,Gold
A3UAN0C3CHEMZA,Networking,Camera,25-34,Gold
A3D0VL4P531NWY,Gaming,Gaming,55+,Platinum
A38Z2QSVGNWWKX,Electronics,Electronics,18-24,Bronze
A883LTR8L3WDX,Electronics,Electronics,35-44,Bronze
A21OOZLUPQ54TP,Electronics,Audio,18-24,Silver
A9L3WQK604Q4F,Audio,Wearables,55+,Bronze
A24TRP9KEHED2I,Wearables,Audio,55+,Bronze
AC0I484ANQWNG,Electronics,Electronics,25-34,Gold
A10JH1023B1IXZ,Electronics,Gaming,18-24,Platinum
A1004HHMSDY5IP,Computers,Wearables,18-24,Bronze
A3AX4T4PETTDCA,Electronics,Electronics,35-44,Silver
A2BMMAG1FO41VK,Camera,Networking,35-44,Platinum
A2WJ44HYL056PB,Audio,Audio,25-34,Bronze
AKXR0YY1I4PQ6,Gaming,Computers,18-24,Silver
A24VUKKAKYAOC0,Computers,Computers,35-44,Bronze
A1E9UYR985DQJM,Audio,Networking,45-54,Bronze
A2XMG6OYFAWVB,Electronics,Wearables,25-34,Bronze
A1F5MACCAVPJ4O,Electronics,Computers,18-24,Bronze
ALNRUJ4GAWW69,Networking,Electronics,18-24,Gold
A2IKLKJLWRO216,Camera,Computers,35-44,Bronze
A11SU5H9FNX6J6,Electronics,Audio,45-54,Platinum
A2SA9QTP0EBN0J,Electronics,Camera,25-34,Gold
A22ENIPLA30420,Computers,Audio,35-44,Silver
A1WJRP2J4MOH0S,Gaming,Computers,45-54,Platinum
A18L7O80726FHA,Electronics,Electronics,35-44,Bronze
AUZZN12E84295,Audio,Audio,35-44,Gold
A3RGZHC7GCKUTR,Gaming,Audio,25-34,Silver
A2IPC51HL9UUYF,Audio,Camera,45-54,Platinum
A3G86RMDGTI4WD,Computers,Mobile,35-44,Platinum
A2DOV1ZRN5FWIG,Camera,Computers,35-44,Bronze
AYYUUYFG0YG1,Gaming,Computers,18-24,Bronze
A2TWW9LDI1Z1BQ,Wearables,Audio,55+,Bronze
A68QS1MX8CUPH,Wearables,Electronics,35-44,Platinum
A2X81XA57054L9,Electronics,Networking,45-54,Silver
A2QGCMZ0K7XMC,Wearables,Wearables,18-24,Gold
A2T29CXPVEW9V1,Networking,Gaming,45-54,Gold
A366EEYIQBU9I5,Mobile,Electronics,25-34,Silver
A3324Z2W5D9Z8V,Gaming,Wearables,18-24,Bronze
A387VI3T9N1DDF,Computers,Gaming,55+,Platinum
A2KSR9HFDEZRJ9,Electronics,Camera,18-24,Silver
A26RR0RP62NP8T,Electronics,Gaming,45-54,Gold
A39M72SW9SAORS,Camera,Audio,35-44,Platinum
A4GLR5U1NHQR8,Computers,Electronics,25-34,Bronze
A1H7Y5XKPGT0OS,Electronics,Mobile,25-34,Silver
A2XT8C2ASRLF2M,Gaming,Audio,55+,Gold
A15JB6N4ZYTUQH,Computers,Camera,55+,Gold
A26Y46IJHWT6H5,Audio,Networking,35-44,Silver
A2IVTZAL1O8WZH,Gaming,Networking,35-44,Gold
A2C1OCOL96Y7T,Wearables,Gaming,55+,Bronze
A3F7MW8OUUQNQK,Computers,Networking,18-24,Platinum
A1ABR9XW8ZUQT0,Camera,Computers,45-54,Silver
A1I1ZGZUDM326L,Mobile,Camera,35-44,Silver
A2KLZJX9Z8J2FD,Electronics,Mobile,45-54,Bronze
A3OUCHMAK9295I,Computers,Electronics,35-44,Gold
A3MZF3IL19IT7T,Computers,Mobile,55+,Silver
ANZ3GVYW66TBS,Gaming,Computers,18-24,Silver
A33MWNM5UXUARA,Mobile,Gaming,25-34,Bronze
A1BTZKE2QAH2QN,Audio,Networking,45-54,Silver
AJGRPDTP3MVUT,Mobile,Audio,25-34,Gold
A20PAT9NYFJACX,Networking,Audio,18-24,Silver
A3DL9S51L2X5PY,Mobile,Networking,35-44,Platinum
A1ZPD53DH9LFVF,Audio,Camera,18-24,Bronze
A3UGXRNRXVNAPI,Camera,Computers,18-24,Gold
A3LYJMOZ1BXWN9,Camera,Audio,25-34,Gold
A2431KC88UDK7Z,Networking,Gaming,35-44,Platinum
A1PRF1WDTUZ5ID,Wearables,Audio,45-54,Platinum
A10L2P65EM6PVW,Audio,Electronics,35-44,Bronze
AURFNQB3I64BU,Gaming,Camera,45-54,Bronze
A3PXBQVJSLP11W,Mobile,Camera,25-34,Platinum
A18SNLASKS8H73,Audio,Wearables,55+,Platinum
A13VHCNUMH4UB2,Audio,Mobile,55+,Silver
A22JH2Y5QZ4157,Computers,Audio,55+,Bronze
A26N05GYOA4K8V,Camera,Camera,18-24,Bronze
AKCJBU6XGJ0P1,Wearables,Gaming,25-34,Silver
A2PKP50FD0SYYJ,Wearables,Audio,55+,Gold
A2VAH77L2MY1Z5,Mobile,Mobile,55+,Bronze
A1WG5ZDL5BL6UL,Electronics,Electronics,18-24,Platinum
A35MBCRIOLFLD9,Electronics,Audio,45-54,Bronze
A1CY8QNV661JC9,Wearables,Wearables,18-24,Gold
A1PUXO9L50KXF5,Electronics,Wearables,35-44,Gold
A1ZZYTPXFU7TM7,Networking,Camera,25-34,Bronze
A1VXOWAOSSME0Z,Wearables,Electronics,45-54,Gold
ALAVEQZCTVB7Z,Gaming,Computers,18-24,Bronze
AIUI5LUZLLNW4,Audio,Networking,55+,Platinum
A1AE0SBAH5PTS5,Computers,Camera,45-54,Platinum
A1YR68YVXQVTV6,Gaming,Audio,35-44,Gold
ACG5SOTV11K7Y,Audio,Wearables,55+,Platinum
A1BU5WQB9W0G1U,Wearables,Mobile,35-44,Gold
AZRT5WFJFC4M8,Computers,Networking,25-34,Silver
A36O28XD1439JH,Camera,Audio,45-54,Bronze
A1000YH725UROY,Electronics,Wearables,18-24,Platinum
A1LCJINSX4FCH2,Wearables,Mobile,35-44,Gold
A27A3NZRR6FJ49,Gaming,Gaming,45-54,Silver
A1F2E22NOO5DNB,Computers,Camera,35-44,Gold
A1R6DKN9YQ2YU1,Mobile,Camera,45-54,Platinum
A1YWOOC82SQEXI,Electronics,Gaming,25-34,Gold
A28Y587UOB6VCS,Computers,Audio,35-44,Gold
A1MGID9E7TBWV1,Wearables,Wearables,45-54,Platinum
A22KOB27KVYGXK,Computers,Audio,35-44,Bronze
A20YWLF68C5EE6,Computers,Audio,45-54,Bronze
A8LQXGAPWVUDA,Electronics,Wearables,18-24,Bronze
A2SYAQXJGRY3XE,Electronics,Networking,45-54,Gold
A2VEJDERH3PMKZ,Wearables,Mobile,18-24,Gold
A2GG2IHXMVIH77,Audio,Audio,25-34,Silver
A5H9FLOK13PLP,Electronics,Audio,18-24,Bronze
A2CHIND3JZD39S,Electronics,Camera,45-54,Bronze
A1TZLXHVP8QXT2,Camera,Electronics,35-44,Platinum
A324CX5OL0LK64,Wearables,Gaming,55+,Silver
AYC3170ABOC6P,Electronics,Mobile,18-24,Silver
A1S5OAYW4CODVA,Wearables,Audio,25-34,Platinum
AK5LDHACCGWL9,Electronics,Gaming,45-54,Silver
A2LH5SQDXRSDXC,Gaming,Wearables,35-44,Bronze
A1R6RESCOWKTUF,Wearables,Audio,18-24,Bronze
A2WNSCLFPTWW7K,Networking,Computers,35-44,Bronze
ACVJJBPD7E58Q,Computers,Electronics,25-34,Silver
A212051ZI27M74,Networking,Audio,25-34,Platinum
A1ATESY0CJAUWT,Networking,Electronics,35-44,Silver
A2QAVNIT8ST4SZ,Electronics,Electronics,35-44,Bronze
AODKB0THUTN7W,Electronics,Camera,35-44,Gold
A3966TRSIWW4Q2,Computers,Camera,55+,Platinum
AKBNM9JDET5TE,Mobile,Camera,45-54,Silver
AAEHOTZ1GRAUX,Wearables,Wearables,18-24,Platinum
A1B98W6U43QLZ2,Computers,Electronics,25-34,Silver
A393AR3FCE4XDE,Mobile,Gaming,55+,Silver
A3B4VJNECZH5BB,Gaming,Mobile,55+,Silver
A1GPVV2XWNGSDX,Electronics,Computers,45-54,Silver
A506HOOCVL8GW,Camera,Audio,35-44,Gold
A28OPKPW25782G,Camera,Electronics,45-54,Platinum
A3ISJIX8RW2824,Audio,Audio,18-24,Silver
AUEODXQ94S4A5,Audio,Gaming,25-34,Gold
A3HWB36LLQAMXH,Audio,Mobile,25-34,Gold
A33J1EN4GK1PFO,Computers,Electronics,35-44,Silver
A3BSPXD2A2UQ2T,Camera,Networking,18-24,Bronze
A328CAQOU9K9MB,Wearables,Electronics,35-44,Silver
